Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex
D631-7,5.39,56.6,2.73,18.84,13.04,0.0,0.03,0.0,D631-7_rotmod.dat,15,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,439.9664,20.97537603953741,3203.56,2763.5936,1.9261652876609262e-11,2.6453320912270787e-12,7.28137421403089,-10.715306448032335,-11.577519799494919,0.8622133514625843,True,2.0151194019129166e-11,-10.695699215500252,-0.019607232532083074,0.862213351462584
D631-7,5.84,58.4,3.27,18.25,12.45,0.0,0.01,0.0,D631-7_rotmod.dat,16,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,410.56374999999997,20.26237276332661,3410.56,2999.99625,1.8926151050355092e-11,2.2783330445147503e-12,8.307016876185488,-10.722937698109739,-11.642382790870244,0.9194450927605046,True,1.860887463605588e-11,-10.730279889853055,0.007342191743315851,0.9194450927605047
D631-7,6.29,58.5,3.95,17.65,11.93,0.0,0.01,0.0,D631-7_rotmod.dat,17,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,382.6849499999999,19.56233498332957,3422.25,3039.56505,1.7632363948014276e-11,1.9716970752655836e-12,8.942734748257022,-10.753689458503047,-11.70515980777522,0.9514703492721729,True,1.7234383625108788e-11,-10.763604244196898,0.009914785693851513,0.9514703492721726
D631-7,6.74,57.7,4.07,17.06,11.48,0.0,0.0,0.0,D631-7_rotmod.dat,18,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,356.93879999999996,18.892824034537558,3329.2900000000004,2972.3512000000005,1.6008151454828233e-11,1.7162609356663562e-12,9.327341269707862,-10.795658815445995,-11.765416682510077,0.9697578670640811,True,1.60152500561067e-11,-10.795466276036095,-0.00019253940990004992,0.9697578670640823
D631-7,7.19,57.3,3.94,16.47,11.08,0.0,0.0,0.0,D631-7_rotmod.dat,19,8,7.72,59.0,196000000.0,290000000.0,483700000.0,0.7973950795947902,0.7,115.04,57.7,1,332.6440999999999,18.238533384019668,3283.2899999999995,2950.6458999999995,1.47989127026979e-11,1.4993409040832548e-12,9.870278775423946,-10.82977019167024,-11.82409961069434,0.9943294190240987,True,1.491466859578339e-11,-10.826386392226262,-0.00338379944397893,0.9943294190240994
DDO064,0.1,6.29,4.62,-1.13,1.96,0.0,28.5,0.0,DDO064_rotmod.dat,4,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,0.6439000000000001,0.802433797892387,39.5641,38.9202,1.282185158855058e-11,2.0867377844732273e-13,61.44447895635966,-10.892049254331601,-12.680532120130014,1.7884828657984135,True,5.384542412742631e-12,-11.268851197856199,0.3768019435245975,1.7884828657984126
DDO064,0.3,13.9,4.62,-2.45,6.31,0.0,27.26,0.0,DDO064_rotmod.dat,5,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,13.905549999999995,3.7290146151496906,193.21,179.30445,2.087169888378486e-11,1.5021606149444357e-12,13.894452215122744,-10.68044219943361,-11.8232836289465,1.142841429512889,True,1.4929416689537897e-11,-10.825957160356943,0.14551496092333238,1.14284142951289
DDO064,0.49,15.6,4.62,-0.64,9.67,0.0,24.99,0.0,DDO064_rotmod.dat,6,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,46.34485,6.807705193381981,243.35999999999999,197.01514999999998,1.6095429548554707e-11,3.0651720418858303e-12,5.2510688889919805,-10.79329742854173,-11.513545144393598,0.7202477158518698,True,2.1805546151445514e-11,-10.661433031320817,-0.13186439722091237,0.720247715851869
DDO064,0.69,18.4,4.62,2.49,13.92,0.0,20.86,0.0,DDO064_rotmod.dat,7,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,103.08330000000001,10.152994632127017,338.55999999999995,235.47669999999994,1.5901423713540355e-11,4.841597445327252e-12,3.2843341258962413,-10.798563989940321,-11.315011322812676,0.5164473328723556,True,2.7928054391373268e-11,-10.553959318381422,-0.24460467155889987,0.5164473328723549
DDO064,0.89,22.5,4.62,1.87,15.16,0.0,13.91,0.0,DDO064_rotmod.dat,8,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,118.4097,10.881622121724316,506.25,387.8403,1.8434208036867528e-11,4.311682061003601e-12,4.275409869292803,-10.734375515644325,-11.365353271068651,0.6309777554243247,True,2.621884012373821e-11,-10.581386524659743,-0.15298899098458207,0.6309777554243254
