Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,19377000000.0,107000000.0,5811000000.0,9688500000.0,7728630000.0,17417130000.0,0.4437372862233904,True,True
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,178720000000.0,494000000.0,1280000000.0,89360000000.0,1702400000.0,91062400000.0,0.01869487296622975,True,True
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",110509000000.0,407000000.0,11314000000.0,55254500000.0,15047620000.0,70302120000.0,0.21404219389116572,True,True
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",152922000000.0,282000000.0,11722000000.0,76461000000.0,15590260000.0,92051260000.0,0.16936498207629097,True,True
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",340393000000.0,1881000000.0,11180000000.0,170196500000.0,14869400000.0,185065900000.0,0.08034651440378805,True,True
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",2943000000.0,33000000.0,1683000000.0,1471500000.0,2238390000.0,3709890000.0,0.6033575119477936,True,True
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",175425000000.0,646000000.0,21025000000.0,87712500000.0,27963250000.0,115675750000.0,0.24173822084576932,True,True
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",208728000000.0,1538000000.0,11586000000.0,104364000000.0,15409380000.0,119773380000.0,0.12865446395517935,True,True
NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,32128999999.999996,237000000.0,5834000000.0,16064499999.999998,7759220000.0,23823720000.0,0.32569304877659744,True,True
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,391076000000.0,6123000000.0,20907000000.0,195538000000.0,27806310000.0,223344310000.0,0.12449974660200656,True,True
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",12845000000.0,59000000.0,1744000000.0,6422500000.0,2319520000.0,8742020000.0,0.26532998094261967,True,True
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",214654000000.0,1977000000.0,32165000000.0,107327000000.0,42779450000.0,150106450000.0,0.2849940825327626,True,True
NGC6789,11,3.52,0.18,2,43.0,7.0,0.1,0.003,0.52,59.27,0.31,319.76,0.017,0.97,0.0,0.0,2,Le14,100000000.0,3000000.0,17000000.0,50000000.0,22610000.0,72610000.0,0.3113896157554056,False,False
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,66173000000.0,122000000.0,5670000000.0,33086500000.0,7541100000.0,40627600000.0,0.1856151975504337,True,True
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",250631000000.0,693000000.0,11067000000.0,125315500000.0,14719110000.0,140034610000.0,0.10511051517906894,True,True
NGC7793,7,3.61,0.18,2,47.0,9.0,7.05,0.026,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",7050000000.0,26000000.0,861000000.0,3525000000.0,1145130000.0,4670130000.0,0.24520302432694593,False,False
