selection_mode,sample,kernel_variant,outer_fold,n_train_rows,n_test_rows,n_train_galaxies,n_test_galaxies,selected_lambda,selected_kernel_feature,selected_global_model,selected_global_features,selected_ridge_alpha,kernel_stage_inner_rmse,global_stage_inner_rmse,coef_kernel_standardized,coef_radius_standardized,coef_local_disk_standardized,intercept_standardized,elapsed_seconds
frozen_reference,Q123,abs_leave_one_out,4,2318,578,139,36,0.5,log_F__abs_leave_one_out__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,,0.3503344549563204,0.3764279366846171,-0.116004396633295,0.013822791846665893,-10.444998488540246,0.15311074256896973
frozen_reference,Q123,abs_self_dlnr,0,2316,580,141,34,0.25,log_F__abs_self_dlnr__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.34039661984118963,0.27329601841590845,-0.06582104252372467,0.07123983316497834,-10.440704975237752,0.04077315330505371
frozen_reference,Q123,abs_self_dlnr,1,2316,580,140,35,0.75,log_F__abs_self_dlnr__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.35277696492077115,0.23954182099623997,-0.056844167848238016,0.08803995329980575,-10.449261023466276,0.05731797218322754
frozen_reference,Q123,abs_self_dlnr,2,2317,579,140,35,0.25,log_F__abs_self_dlnr__lam_0p25,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,,0.3699213602176502,0.30824621654626405,-0.13835073794142716,-0.0006134834732875798,-10.440321207497265,0.04461956024169922
frozen_reference,Q123,abs_self_dlnr,3,2317,579,140,35,0.75,log_F__abs_self_dlnr__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.3549150577833988,0.22532161371663467,-0.06732925416105898,0.07494620407630574,-10.428513486608205,0.03675556182861328
frozen_reference,Q123,abs_self_dlnr,4,2318,578,139,36,0.5,log_F__abs_self_dlnr__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,,0.347423972255549,0.3787587321346858,-0.16159520206488068,-0.004212331063795528,-10.444998488540246,0.09591317176818848
frozen_reference,Q123,signed_self_uniform,0,2316,580,141,34,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.33992019107261057,0.2752755650620073,-0.06841636044926995,0.06612485768522496,-10.440704975237752,0.09903168678283691
frozen_reference,Q123,signed_self_uniform,1,2316,580,140,35,0.75,log_F__signed_self_uniform__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",51.79474679231202,,0.3524925551994848,0.251351147767646,-0.05265850733847366,0.08201476729139857,-10.449261023466276,0.06750273704528809
frozen_reference,Q123,signed_self_uniform,2,2317,579,140,35,0.25,log_F__signed_self_uniform__lam_0p25,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",24.420530945486497,,0.3693476504486214,0.3096029559836934,-0.14184432339714326,-0.007407726662110955,-10.440321207497265,0.11340212821960449
frozen_reference,Q123,signed_self_uniform,3,2317,579,140,35,0.75,log_F__signed_self_uniform__lam_0p75,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.35494813067307435,0.2358467282220824,-0.06339776256763063,0.06933989443386554,-10.428513486608205,0.06725168228149414
frozen_reference,Q123,signed_self_uniform,4,2318,578,139,36,0.5,log_F__signed_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",5.428675439323859,,0.34732412687665715,0.3798616663814971,-0.1563888993165698,-0.011689555027590458,-10.444998488540246,0.13617897033691406
